transcript_id	gene_id
NM_001244901.1	LOC543501
NM_001246832.1	MPK9
NM_001246833.2	CycA1
NM_001246835.2	LOC544256
NM_001246836.2	ARF2
NM_001246837.2	EXPB2
NM_001246838.1	MAPK4
NM_001246839.2	CycA2
NM_001246840.1	LOC544001
NM_001246841.1	NRAMP3
NM_001246842.1	ARF4
NM_001246843.2	5PT3
NM_001246844.1	Bti9
NM_001246845.3	XRN4
NM_001246846.3	LOC544002
NM_001246848.2	GABA-TP3
NM_001246849.2	LOC778242
NM_001246851.2	HSP70
NM_001246854.2	TCP1
NM_001246855.2	CAS1
NM_001246859.3	RAD51
NM_001246860.2	FESOD
NM_001246861.2	pmt
NM_001246862.2	LOC100134915
NM_001246863.2	TCP5
NM_001246864.2	SUN
NM_001246865.1	cycD3
NM_001246866.2	TAPG1
NM_001246867.2	ERF3
NM_001246868.2	SlCYC1
NM_001246869.2	Rab11a
NM_001246871.2	LOC544261
NM_001246872.2	LOC778245
NM_001246873.2	SLBRC1A
NM_001246874.2	Pti1
NM_001246875.2	PP2Ac2
NM_001246876.3	MTS1
NM_001246877.1	TCP12
NM_001246878.2	KN1
NM_001246879.1	LOC544263
NM_001246880.2	MTS2
NM_001246881.2	TCP15
NM_001246882.1	LOC100147720
NM_001246883.2	TomloxC
NM_001246884.2	LOC544264
NM_001246885.2	TMT
NM_001246886.1	TCP17
NM_001246887.2	LOC100147721
NM_001246888.1	DAD1
NM_001246890.2	XTH6
NM_001246891.2	CIP2b
NM_001246892.2	TCP19
NM_001246893.1	GAD2
NM_001246894.2	Rab1A
NM_001246895.2	Dea1
NM_001246896.1	SlFKBP12
NM_001246897.1	TCP21
NM_001246898.2	GAD3
NM_001246899.2	Rab1B
NM_001246900.1	LOC544267
NM_001246901.1	CIP4
NM_001246902.2	TCP24
NM_001246903.2	SSR1
NM_001246904.2	Rab1C
NM_001246905.1	LOC544268
NM_001246906.2	LOC100736525
NM_001246907.2	SSR2
NM_001246908.2	IMP3
NM_001246909.2	LeCCD1B
NM_001246910.2	CO1
NM_001246911.2	SlDMR6-1
NM_001246912.3	SSADH
NM_001246913.2	Wiv-1
NM_001246914.1	IMP2
NM_001246915.1	NML2
NM_001246916.2	AADC1A
NM_001246917.2	LOC100736527
NM_001246918.1	ca3
NM_001246919.2	3OH-1
NM_001246920.1	fsm1
NM_001246921.2	gdh1
NM_001246922.1	ARG2
NM_001246923.2	AADC1B
NM_001246924.2	GAME1
NM_001246925.2	TBP1
NM_001246926.2	3OH-2
NM_001246927.1	yfe37
