gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC101244335	451.853951744609	-3.29316398022871	0.482285776329231	-6.82824197158292	8.59615099510117e-12	1.948639978702e-08
gene-LOC101245054	210.210651195921	-1.12345009899523	0.283248320133622	-3.96630807365511	7.29945023686836e-05	0.030482829200143
gene-LOC101245064	31.5496613326102	-4.5515613077489	0.866341497424606	-5.25377269965647	1.49014768567723e-07	0.000220486477796704
gene-LOC101246381	1934.7234511335	1.54783244410686	0.358651965370759	4.31569486174928	1.59101630450537e-05	0.0119394358737871
gene-LOC101246400	311.494258210474	-1.36281638933868	0.247278285774541	-5.51126592078222	3.56261996050537e-08	5.8734648167059e-05
gene-LOC101248137	3170.00010494609	-1.6281213897404	0.404926026762178	-4.02078721083699	5.80039822980941e-05	0.0262975554743984
gene-LOC101248456	99.9667285269858	-1.21948372343272	0.285266224998711	-4.27489697891234	1.91225696378175e-05	0.0119582000131662
gene-LOC101249481	252.2330827514	2.19759121561676	0.54059863192007	4.06510687570827	4.8010456301836e-05	0.0235316114873999
gene-LOC101249565	962.954969492317	-1.94719231945681	0.327578367771275	-5.94420300920602	2.77805142459561e-09	5.03799625850415e-06
gene-LOC101250115	144.405065909339	1.17066787173647	0.292346968190963	4.00437835555655	6.21807771899542e-05	0.0275036193741419
gene-LOC101253603	164.484481139276	-2.12610398516663	0.240701933053798	-8.83293274047548	1.01966340666458e-18	9.24579793993104e-15
gene-LOC101254444	808.448185309193	-1.22407602619775	0.312254831355723	-3.92011877248836	8.85053388007358e-05	0.0356676515366965
gene-LOC101254505	363.376993024326	-2.07221317028148	0.286548632855437	-7.23162818692248	4.77237324749903e-13	1.23638555490564e-09
gene-LOC101254813	2974.17707362701	-1.40185662493341	0.28754249667079	-4.87530240282502	1.08641896953439e-06	0.00115895341250036
gene-LOC101255450	77.7473154294742	1.90635540374975	0.428055987279551	4.45351883959226	8.44742921469708e-06	0.00729495851469197
gene-LOC101256137	31.5867159109364	3.89314019318272	0.77035848898982	5.05367338560498	4.33392506630264e-07	0.00049122331923374
gene-LOC101256752	36.1706508692163	5.28443302994025	1.2355557328105	4.27696856532714	1.89455542868062e-05	0.0119582000131662
gene-LOC101256997	8.60012763186558	-6.69276964797005	1.68873849626034	-3.96317704771401	7.3958890808177e-05	0.030482829200143
gene-LOC101257056	1486.90464935907	-2.70467939916499	0.323606832165447	-8.35791809791642	6.38347369796954e-17	2.31528591025355e-13
gene-LOC101257984	339.62516214696	1.43281025242111	0.274056799115716	5.22815072293145	1.71213911495286e-07	0.000220486477796704
gene-LOC101258715	1684.62932143426	-2.21629330372138	0.258152731793901	-8.58520182343369	9.06770974198663e-18	4.11107290427319e-14
gene-LOC101259391	497.203645622842	-1.54450921656333	0.178970593862477	-8.62996084010394	6.13729823993156e-18	3.70999678603863e-14
gene-LOC101259911	26.9162895421991	2.92361699716785	0.723323072316194	4.04192415403806	5.30143816505665e-05	0.0246516874675134
gene-LOC101260045	82.3826586579697	1.09310455091773	0.264260027598981	4.13647330945009	3.52684356193476e-05	0.0182740879987677
gene-LOC101261312	23.6304526828889	-1.86818826740433	0.48598497442888	-3.84412762884242	0.000120982033937366	0.0447756976623292
gene-LOC101267943	676.108709134606	1.47671057366592	0.360407303563335	4.09733809239083	4.1792828480347e-05	0.0210531373469748
gene-LOC104644442	30.6387615902155	-2.34863259909864	0.520122967088685	-4.51553334059594	6.31576085350532e-06	0.00627244302967991
gene-LOC104645147	54.8685667558342	4.10103193909423	0.635792372062381	6.45026917481145	1.11651665724166e-10	2.24978106434195e-07
gene-LOC104646497	15.8459222885018	3.34154871830205	0.747921954053837	4.46777728637382	7.90365278122696e-06	0.00716663715937755
gene-LOC104648746	29.316348306598	-2.74469974202107	0.626246026257446	-4.38278188913049	1.17173407261302e-05	0.00923886843775529
gene-LOC544070	8294.36747896222	-1.94759957112853	0.210934946134687	-9.23317642153493	2.62722867643946e-20	4.76447920472296e-16
gene-PR-P2	1513.8080674963	1.33601222920983	0.348662338786876	3.83182259907482	0.000127197446851565	0.0452872468378066
gene-SlFBA2	511.431896305265	-1.10845078834275	0.257288813566174	-4.30819658647017	1.64591065257611e-05	0.0119394358737871
gene-psbS	2255.03341717653	-1.50906272690645	0.203563474048753	-7.41322938193242	1.23260418950117e-13	3.72554616276727e-10
